abbr,en,ko
ADJ,Adjustment Screw,조절 나사
ADJ,Adjutant,
ADL,Armament datum line,무장 기준선(면)
ADL,Authorized data list,
ADLAT,Advanced low-altitude technique,
ADM,Acquisition decision memorandum,획득 결정 각서
ADM,Admiral (with name),
ADM,Advanced development model,진보된 개발 모형
ADM,Air decoy (defense) missile,공중 기만(방어) 미사일
ADMA,Aviation distributors & manufacturers asso.,항공기
ADMAPS,Automated document management and publishing system (navy),
Admin,Administration,
Admin,Administrative aircraft,행정용항공기
Admin,Administrative lead time,"계약 소요시간, 행정 소요시간"
ADMRL,Application data material readiness list,
ADO,Advanced development objective,향상된 개발 표적
ADP,Advanced development program,최신(첨단) 개발프로그램처리기
ADP,Advanced display processor,최신 화면
ADP,Advanced ducted propulsors,첨단 덕트 추진기
ADP,Air driven pump,공기 구동펌프
ADP,Amraam data processor,
ADP,Automatic data processing,자동 자료/데이타 처리
ADPE,Advanced development process equipment,
ADPE,Automatic data processing equipment,
ADPM,Analog data processing module,
ADPO,Advanced development project office,
ADPP,Assembly detail purchased parts,조립품 상세 구매품
ADPS,Automatic data processing system,자동 자료 처리시스템
ADPT,Adapter,
ADR,Advance deviation report,사전 일탈보고
ADR,Aircraft discrepancy report,
ADRN,Advanced document revision notice,
ADRU,Air defense radar unit,공중방어 레이더 유닛
ADS,Active defense system,능동 방어시스템
ADS,Address,어드레스
ADS,Advanced distributed simulation,첨단
ADS,Air data system,대기 자료 계통
ADS,Air defense sector,
ADS,Audio distribution system (awacs),음성분배시스템
ADS,Automatic dependent surveillance,자동
ADS,Aviation depot squadron,
ADS,Avionics development system,항공전자 개발 시스템
ADS,Avionics display system,항공전자 시현 시스템
ADS-A,Automatic dependent surveillance addressed,(formerly ADS) 자동
ADS-B,Automatic dependent surveillance broadcast,자동 종속감시 - 방송
ADSD,Air defense systems division,
ADSM,Air defense suppression missile,공중 방어 억제 미사일
ADST,Adaptable design synthesis tool,적용 설계 종합기법
ADT,Advanced debugging tool,
ADT,Approved departure time,승인 출발시각
ADTAC,Advanced attack,
ADTAC,Air defense tactical air command,
ADTC,Armament development test center,
ADTE,Advanced Data Transfer Equipment,진보형 자료 전송장치
ADTLP,Army-wide doctrinal and training literature program,
ADTS,Avionics depot test set,항공전자 창정비 시험 셋트
ADU,Adapting Unit,어댑팅 유니트
ADU,Adult fare,성인 운임
ADU,Air defense update,
ADU,Automatic Deployment Unit,자동 분리(전개) 장치(유니트)
ADU,Avionics display unit,항공전자 시현장치
ADV,Advance,
ADV,Advise,
ADV,Air defense variant,공중방어형
ADVANCE,Advance ratio,"진행비(프로펠러),전진비(헬리콥터)"
ADVANCE,Advance research,선행 연구
ADVANCE,Advanced attack,
ADVANCE,Advanced flying training,고급 비행훈련
ADVANCE,Advanced maneuver,고등 기동비행
ADVANCE,Advanced technology,첨단 기술
ADVANCE,Advancing blade,앞선 깃
ADVANCE,Advection,수평 기류
ADVANCE,Advection fog,수평 기류 안개
ADVANCE,Adverse Weather Operation,악기 상시 작동(운용) 절차
ADVANCE,Adverse yaw,역(逆) 빗놀이
ADVANCE,Army data validation and netting capability establishment,
ADVFLIR,Advanced forward-looking infrared,
ADVFLIR,Advisory route,권장 항로
ADVR,Advance release,
ADW,Air defense warning,공중방어 경고
ADWKP,Air defense warning key point,
ADX,Air defense exercise,공중 방어 훈련
AE,Age exploration,
AE,Air escape,
AE,Anodic etch,
AE,Antenna electronic unit,안테나 전자 유니트
AE,Antenna Electronics,안테나 전자 장치
AE,Area of augmentor nozzle exit,
AE,Atmospheric environment,대기환경
AE,Awaiting equipment,
Ae,Exit area,출구면적
AE&TC,Airforce Education & Training Command,공군 교육사령부
AEA,American electronics association,미국 전자공학회
AEA,Association of european airlines,유럽 항공사 협회
AEA,Atomic energy authority,핵 에너지국
AEB,Aft equipment bay,
AEB,Avionics equipment bay,항공 전자장비 격실
AEB,Avionics equipment branch,항공전자 장비 분기
AEC,Aircraft equipment carrier,
AEC,Atomic energy commission,
AEC,Avionics equipment console,항공전자 장비 콘솔
AECA,Arms Export Control Act,무기수출통제법
AECMA,Association europeenne des constructeurs de materiel aerospatial(european association of aerospace industries),유럽 항공사협회
AECP,Administrative engineering change proposal,관리체계 변경 제안
AEDC,Arnold engineering development center,미 공군 아놀드 기술연구소
AEDL,Arnold air development center (AFSC),
AEEC,Airlines electronic engineering committee,항공회사 전자공학위원회
AEF,Avionics equipment feature,항공전자 장비 특징
AEI,Aeronautical engineering instruction,
AEI,Aerospace equipment instruction,항공장비 지침
AEI,Airborne equipment instructions,항공기 탑재장비 지시서
AEI,Aircraft equipment instruction,항공기 장비지침
AEIS,Aeronautical en-route information service,항공로 정보제공 업무
AEL,Allowance equipage list,
AEM,Artillery effectiveness model,포(무장) 효과도 모델
AEMR,Acquisition executive monthly report,
AEO,All engine operating,전엔진 작동
AEO,Area engineering officer (corps of engineers),
AEOL,Aircraft and engine operating limitations,항공기 및 엔진 운용제한(서)
AERD,Aerial acrobatics,공중 곡예
AERD,Aerial camera,항공 사진기
AERD,Aerial delivery,"공중투하, 공중보급"
AERD,Aerial inspection,공중 감시
AERD,Aerial mapping camera,지도작성 항공사진기
AERD,Aerial mine,투하 기뢰
AERD,Aerial photography,항공 사진
AERD,Aerial piracy,항공기 납치
AERD,Aerial refueling,공중 급유
AERD,Aerial ship,비행선
AERD,Aerial torpedo,"항공어뢰, 공중어뢰"
AERD,Aerial work,"항공기 사용사업, 항공작업"
AERD,Atomic energy research department,
AERNO,Aeronautical equipment reference number,
Aero,Aero engine,항공기 엔진
Aero,Aero tow,공중 예인(曳引)
Aero,Aeroacoustics,공력 음향학
Aero,Aeroastromedicine,항공의학
Aero,Aeroballistics,공기역학적 탄도학
Aero,Aerodentalgia,항공 치통(齒痛)
Aero,Aerodrome,"비행장, 공항"
Aero,Aerodrome air/ground communication service,비행장 대공
Aero,Aerodrome climatological summary,비행장 기후 개요
Aero,Aerodrome climatological table,비행장 기후표
Aero,Aerodrome control,비행장 관제
Aero,Aerodrome control service,비행장 관제업무
Aero,Aerodrome elevation,비행장 표고
Aero,Aerodrome identification sign,비행장 식별 표식
Aero,Aerodrome marking,비행장 표식 시설
Aero,Aerodrome meteorological information,비행장 기상정보
Aero,Aerodrome meteorological minimum,비행장 최저 기상조건
Aero,Aerodrome meteorological office,비행장 기상대
Aero,Aerodrome operating minima,비행장 운용한계
Aero,Aerodrome standard,비행장 규격
Aero,Aerodrome traffic,비행장 교통
Aero,Aeronautic,
Aerodyn,A,공력계수
Aerodyn,Aerodynamic,
Aerodyn,Aerodynamic balancing surface,공력 평형조종면
Aerodyn,Aerodynamic braking,공력 제동
Aerodyn,Aerodynamic characteristics,공력 특성
Aerodyn,Aerodynamic drag,공기 항력
Aerodyn,Aerodynamic Fairing,공기 역학적 페어링 공기 역학적 유선형 구조(부분)
Aerodyn,Aerodynamic force,공기력
Aerodyn,Aerodynamic heating,공력 가열(로켓의)
Aerodyn,Aerodynamic missile,공기역학적 미사일
Aerodyn,Aerodynamic resultant force,공기역학적 합력
Aerodyn,Aerodynamic smoother,공기역학 유연제(체)
Aerodyn,Aerodynamic smoothness,공기역학적 유연성
Aerodyn,Aerodynamic type of variable propelling nozzle,공력
Aerodyn,Aerodynamic(al) interference,공기 간섭
Aerodyn,Aerodynamics,공기 역학
Aerodyn,Aerodyne,중(重) 항공기
Aerodyn,Aeroelastic,공탄성
Aerodyn,Aeroelastic divergence,공탄성 발산
Aerodyn,Aeroelasticity,공탄성학
Aerodyn,Aerofoil,"날개꼴, 에어포일"
Aerodyn,Aerohydroplane,수상 비행기
Aerodyn,Aeromedicine,항공 의학
Aerodyn,Aeronautical engineering,항공 공학
Aerodyn,Aeronautical Fuel,항공 연료
Aerodyn,Aeronautical Lubricating Oil,항공윤활유
Aerodyn,Aeronautical meteorological station,항공 기상관측소
Aerodyn,Aeronautical meteorological summary,항공 기상통계
Aerodyn,Aeronautical meteorology,항공 기상학
Aerodyn,Aeronautical obstruction light,항공 장해등(燈)
Aerodyn,Aeronautical psychology,항공 심리학
Aerodyn,Aeronautical radio communication station,항공 무선통신국
Aerodyn,Aeronautical station,"항공 무선국, 지상통신국"
Aerodyn,Aeronautical telecommunication service,항공 전기통신업무
Aerodyn,Aeronautical telecommunication station,항공 전기통신국
Aerodyn,Aeronautics,항공학
Aerodyn,Aeroneurosis,항공 신경증
Aerodyn,Aeropause,무공기층
Aerodyn,Aeroplane,비행기
Aerodyn,Aerosol,에어로솔
Aerodyn,Aerospace,항공 우주
Aerodyn,Aerospace engineering,항공 우주공학
Aerodyn,Aerospace vehicle,비행체
Aerodyn,Aerosphere,대기권
Aerodyn,Aerostat,경(輕) 항공기
Aerodyn,Aerostatics,"공기정(靜) 역학, 경항공기 조종술"
Aerodyn,Aerothermoelasticity,공력 열탄성
Aerodyn,Aerotitis media,항공 중이염
AERP,Aircrew eye/respiratory protection,
AES,American electroplaters society,
AESR,Aeronautical equipment service record,
AET,Accumulated execution time,누적 수행시간
AET,Aircrew egress trainer,
AETC,Air education and training command,미국 공군 교육훈련사령부
AEU,Antenna electronics unit,안테나
AEW,Air electronic warfare,항공전자전
AEW,Airbone early warning,공중 조기경보
AEW&C,Airborne early warning & control,공중 조기 경보 및 관제
AF,Abnormal frequency,
AF,Adjustment factor,조정계수
AF,Air force,공군
AF,Aramid fiber,아라미드섬유
AF,Armed forces,
AF,Audio frequency,가청주파수
AF,Axial flow,축류 흐름
AF,Propeller blade activity factor,프로펠러 깃 계수
AF Compt,Air force comptroller,
AF DAA,Air force data automation agency,
AF EXH,Air force exhibit,
AF/N,Air force/navy,
AF/NA,Air force/navy aeronautical,
AFA,Air force association,
AFAC,Air force armament center,공군 무장센터
AFAC,Airborne forward air controller,공중 전방 대기 제어기
AFAD,Air force acquisition document,
AFAE,Airborne fly away equipment,항공기 탑재 보급 장비
AFAFC,Air force accounting and finance center,
AFAI,Air force acceptance inspection,공군
AFALC,Air force acquisition logistics center,
AFAPO,Air force accountable property officer,
AFATL,Air force armament laboratory,
AFB,Air force base,공군기지
AFBMC,Air force ballistic missile committee,공군 탄도미사일위원회
AFBMTC,Air force ballistic missile training center,공군 탄도 미사일 훈련소
AFBSD,Air force ballistic system division,공군 탄도병기부 (미국)
AFC,Adaptive flight control,적응 비행제어
AFC,Aerodynamic flight control,공기역학
AFC,Afterburner fuel control,후기연소기 연료 제어(기)
AFC,Air fuel ratio control,공연비 제어
AFC,Aircraft flyaway cost,항공기 양산비용
AFC,Airframe change,
AFC,Augmentor fuel control,
AFC,Automatic Flight Control,자동비행제어
AFC,Automatic frequency control,자동 주파수조정
AFC,Automatic fuel control,자동 연료제어
AFC,udio frequency control,가청주파수 조정
AFCAIG,Air force cost analysis improvement group,
AFCAM,Affordability and feasibility cost analysis model,
AFCC,Air force communications command,
AFCE,Automatic flight control equipment,자동비행 제어장치
AFCEA,Armed forces computer and electronics association,
AFCIP,Air force center for international programs,
AFCMC,Air force contract management center,
AFCO,Automatic fuel cut-off,자동 연료중단
AFCOS,Air force combat operations staff,
AFCRC,Air force cambridge research center,미 공군 켐브리지 연구소
AFCS,Air force communication service,공군 통신서비스
AFCS,Augmented flight control system,비행 제어 증강 계통
AFCS,Automatic flight control system,자동비행 제어장치
AFCV,Airflow Control Valve,공기흐름 조정 밸브
AFD,Air force depot,공군 창
AFD,Arm and fire device,
AFDERSS,Air force department of industrial equipment reserve storage site,
AFDR,Air force deficiency report,
AFDRIF,Air force directory of resident inspection facilities,
AFDS,Advanced fighter diagnostics system,
AFDSDC,Air force data systems design center,
AFDTC,Air force development test center,
AFE,Alternate fighter engine,
AFEKDS,Air force electronic key distribution system,
AFEMS,Air force equipment management system,
AFETR,Air force eastern test range,
AFETS,Air force engineering and technical,
AFEWES,Air force electronic warfare evaluation simulator,
AFF,Air free-fall,
AFFA,Air force flight acceptance,
AFFAI,Air force final acceptance inspection,
AFFDL,Air force flight dynamics laboratory,
AFFF,Aqueous film forming foam,
AFFH,Affiliate,"방계회사, 계열회사, 자매회사"
AFFH,Annual force flight hours,
AFFS,Automated freight forwarder system,
AFFTC,Air force flight test center,공군 비행 시험센터
AFFTDS,Air force flight test data system,
AFFWC,Air force fighter weapons center,
AFG,Airfoil Group,에어포일 그룹
AFG,Arbitrary function generator,임의 함수 발생기
AFGL,Air force geophysics laboratory,
AFGS,Air force guide specification,미 공군 지침 규정(격)서
AFGS,Automatic flight guidance system,자동 비행 유도장치
AFH,Air force handbook,미공군 핸드북
AFHQ,Air force headquarters,
AFHRL,ir force human resources laboratory,
AFI,Air force installation,
AFI,Air force instruction,
AFI,Altitude flight indicator,비행고도 지시계
AFI,Automatic fault isolation,자동 결함분리
AFIE,Abnormal fluctuation in the economy,
AFIPS,American federation of information processing societies,
AFISC,Air force inspection and safety center,
AFIT,Air force institute of technology,
AFJKT,Air force job-knowledge test,
AFL,Air force letter,공군 문서
AFL,Avionics fault list,항공전자 결함목록
AFL,Avionics flying laboratory,항공전자 비행실험실
AFLC,Air force logistics command,공군 군수사령부
AFLC,Automatic frequency limit counter,
AFM,Air force manual,(미)공군 교범
AFM,Army field manual,
AFMC,Air force material command,미 공군 군수 사령부
AFMDC,Air force missile development center,
AFML,Air force materials laboratory,
AFMPC,Air force military personnel center,
AFMSC,Air force maintenance specialty code,공군 정비 특기부호
AFMSS,Air force mission support system,미 공군 임무 지원체계
AFMTC,Air force missile test center,
AFN,Atc facilities notification,ATC 시설 통보
AFOLDS,Air force on-line data system,
AFOQT,Air force officer qualifying test,
AFOSH,Air force occupational safety and health,미공군 직업안전 및 건강
AFOSI,Air force office of special investigator,
AFOSR,Air force office of scientific research,
AFOT&E,Air force operational test & evaluation center,
AFOTC,Air force operational test center,
AFOTEC,Air force operational test and evaluation center,미 공군 운용시험 및 평가센터
